Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Trumpet Blast,M10,Magic 2010,160,normal,common,2,23193,769ca754-7da8-49ad-a26c-8e20b37e411e,0.16,false,false,near_mint,en,USD
Burst of Speed,M10,Magic 2010,129,normal,common,3,23224,dc8c7aa0-2067-4513-a658-ed866279e671,0.15,false,false,near_mint,en,USD
Kindled Fury,M10,Magic 2010,144,normal,common,4,23209,97004b84-ac1a-49a1-862b-ce86bcae2c6b,0.06,false,false,near_mint,en,USD
Yawning Fissure,M10,Magic 2010,164,normal,common,5,23189,fa364a1c-14e4-4dda-aa1f-edb879a64a2d,0.04,false,false,near_mint,en,USD
Seismic Strike,M10,Magic 2010,154,normal,common,2,23199,6526a501-9402-44c1-8e3c-ce01b4ed5b87,0.11,false,false,near_mint,en,USD
Jackal Familiar,M10,Magic 2010,143,normal,common,1,23210,0a47a2dc-f7f2-4103-9ebe-8cd8b83915ae,0.07,false,false,near_mint,en,USD
Shatter,M10,Magic 2010,155,normal,common,3,23198,5847aac2-edb9-4c83-b36c-3a57f037c074,0.02,false,false,near_mint,en,USD
Lava Axe,M10,Magic 2010,145,normal,common,4,23208,09cbcef1-81b1-4847-ada3-1ce84cdfdce3,0.04,false,false,near_mint,en,USD
Canyon Minotaur,M10,Magic 2010,130,normal,common,1,23223,b85b682f-f526-45a8-9a12-db3fe8c3c8c3,0.1,false,false,near_mint,en,USD
Fiery Hellhound,M10,Magic 2010,135,normal,common,2,23218,6d6b2c8a-8019-4e4b-8f4e-058ab5284153,0.08,false,false,near_mint,en,USD
Berserkers of Blood Ridge,M10,Magic 2010,126,normal,common,4,23227,485ebe59-0fdb-463f-a6ad-51881cfde3da,0.07,false,false,near_mint,en,USD
Prodigal Pyromancer,M10,Magic 2010,151,normal,uncommon,3,23202,ea894b56-7427-4dda-a63a-65608252f13e,0.11,false,false,near_mint,en,USD
Unsummon,M10,Magic 2010,79,normal,common,2,23274,3db75881-4d4b-4dd9-8d40-c8f89c04f713,0.13,false,false,near_mint,en,USD
Illusionary Servant,M10,Magic 2010,57,normal,common,4,23296,b2348f3e-8c08-4250-95a9-fc5ed63cd725,0.1,false,false,near_mint,en,USD
